label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank,IO_12C_01,IO_12C_02,IO_12C_03
,1842,1842,3,175.091751,13.799,0.789833,,,175.091751@13.798978,175.091751@13.798978,,0.000,0.000000,175.091751,0.00,107040.43,85576.82,72463.32
,1843,1843,3,235.170441,7.048,0.851086,,,235.170441@7.047941,235.170441@7.047941,,0.000,0.000000,235.170441,3328.05,86181.36,93851.31,77760.18
,1844,1844,2,398.230530,1.945,0.811059,,,398.230530@1.945121,398.230530@1.945121,,0.000,0.000000,398.230530,3966.71,98644.76,13263.04,8347.44
,1845,1845,3,273.234894,4.106,0.851447,,,273.234894@4.105504,273.234894@4.105504,,0.000,0.000000,273.234894,607.48,67812.75,88864.44,70639.79
,1846,1846,3,277.184326,2.090,0.848332,,,277.184326@2.090117,277.184326@2.090117,,0.000,0.000000,277.184326,38621.02,128073.00,121192.60,109871.52
,1847,1847,2,719.305237,4.076,0.851691,,,719.305237@4.076100,719.305237@4.076100,,0.000,0.000000,719.305237,0.00,66128.46,89061.30,48218.64
,1848,1848,3,293.186859,4.147,0.843483,,,293.186859@4.146566,293.186859@4.146566,,0.000,0.000000,293.186859,14838.00,72648.75,93989.18,83667.57
,1849,1849,3,203.082214,2.441,0.824457,,,203.082214@2.441179,203.082214@2.441179,,0.000,0.000000,203.082214,803933.81,20275852.00,34108572.00,20425986.00
,1850,1850,3,203.082245,3.584,0.798343,,,203.082245@3.583975,203.082245@3.583975,,0.000,0.000000,203.082245,480.94,2296790.25,2161645.25,2124529.75
,1851,1851,1,203.082153,4.148,0.604149,,,203.082153@4.148167,203.082153@4.148167,,0.000,0.000000,203.082153,68952.98,1339439.00,1922898.62,1619981.62
,1852,1852,3,203.082184,7.193,0.792764,,,203.082184@7.193304,203.082184@7.193304,,0.000,0.000000,203.082184,22742.87,2678275.75,2997837.25,2633058.25
,1853,1853,3,203.082184,13.609,0.821200,,,203.082184@13.608788,203.082184@13.608788,,0.000,0.000000,203.082184,233440.11,7644224.00,7628042.50,5928771.50
,1854,1854,2,864.577759,2.612,0.850835,,,864.577759@2.612187,864.577759@2.612187,,0.000,0.000000,864.577759,27233.03,62809.79,44925.36,106581.25
,1855,1855,4,226.035782,4.127,0.815389,,,226.035782@4.126750,226.035782@4.126750,,0.000,0.000000,226.035782,15490.78,106031.21,95599.88,83220.09
,1856,1856,3,489.141113,4.049,0.848514,,,489.141113@4.049413,489.141113@4.049413,,0.000,0.000000,489.141113,519.61,87335.64,80088.89,58950.06
,1857,1857,3,488.278717,3.044,0.850778,,,488.278717@3.043989,488.278717@3.043989,,0.000,0.000000,488.278717,0.00,58943.26,104494.40,60180.83
,1858,1858,3,203.030121,3.554,0.831031,,,203.030121@3.553929,203.030121@3.553929,,0.000,0.000000,203.030121,754.46,97139.12,59637.39,39148.42
,1859,1859,3,558.314819,4.152,0.850281,,,558.314819@4.151591,558.314819@4.151591,,0.000,0.000000,558.314819,10262.82,113971.87,79540.16,59277.79
,1860,1860,3,169.626266,7.237,0.850876,,,169.626266@7.236522,169.626266@7.236522,,0.000,0.000000,169.626266,0.00,108198.69,99053.49,82325.79
,1861,1861,2,201.070984,7.227,0.749380,,,201.070984@7.227000,201.070984@7.227000,,0.000,0.000000,201.070984,7135.85,340528.50,331795.12,306898.84
