label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank,RT_12C_01,RT_12C_02,RT_12C_03
,3547,3547,4,147.045181,2.659,0.852832,,,147.045181@2.659200,147.045181@2.659200,,0.000,0.000000,147.045181,74359.55,264052.38,236809.55,206294.20
,3548,3548,3,373.050903,13.395,0.852306,,,373.050903@13.395050,373.050903@13.395050,,0.000,0.000000,373.050903,0.00,211046.69,221008.38,173680.44
,3549,3549,4,550.107666,6.510,0.787163,,,550.107666@6.510446,550.107666@6.510446,,0.000,0.000000,550.107666,69961.59,164087.55,212772.25,167537.95
,3550,3550,3,90.027809,11.954,0.811228,,,90.027809@11.953850,90.027809@11.953850,,0.000,0.000000,90.027809,9183.13,230870.77,174492.31,221960.50
,3551,3551,4,196.153656,3.056,0.813179,,,196.153656@3.056379,196.153656@3.056379,,0.000,0.000000,196.153656,70690.13,206319.17,139932.30,230145.42
,3552,3552,1,403.306305,2.564,0.698384,,,403.306305@2.563855,403.306305@2.563855,,0.000,0.000000,403.306305,0.00,119800.88,91595.44,76879.70
,3553,3553,3,128.035339,13.546,0.829044,,,128.035339@13.546347,128.035339@13.546347,,0.000,0.000000,128.035339,138442.64,1668981.62,1847864.12,1594106.00
,3554,3554,4,619.369080,11.770,0.850211,,,619.369080@11.769920,619.369080@11.769920,,0.000,0.000000,619.369080,28416.91,241243.58,165711.89,208624.70
,3555,3555,3,125.024429,11.907,0.802926,,,125.024429@11.907192,125.024429@11.907192,,0.000,0.000000,125.024429,3117.94,239089.42,168618.80,201690.55
,3556,3556,3,695.466309,3.015,0.833142,,,695.466309@3.015250,695.466309@3.015250,,0.000,0.000000,695.466309,0.00,258092.33,215557.80,210464.55
,3557,3557,3,414.294342,2.576,0.786198,,,414.294342@2.576317,414.294342@2.576317,,0.000,0.000000,414.294342,0.00,158710.78,245398.42,208950.33
,3558,3558,4,225.124481,4.108,0.815089,,,225.124481@4.107692,225.124481@4.107692,,0.000,0.000000,225.124481,53643.49,158209.89,85755.80,198667.33
,3559,3559,4,407.264191,2.058,0.852626,,,407.264191@2.058463,407.264191@2.058463,,0.000,0.000000,407.264191,98661.98,241068.95,238123.17,175609.81
,3560,3560,3,256.138367,3.047,0.827474,,,256.138367@3.047050,256.138367@3.047050,,0.000,0.000000,256.138367,71494.46,201811.83,198701.95,200991.70
,3561,3561,3,851.537537,2.591,0.795427,,,851.537537@2.591121,851.537537@2.591121,,0.000,0.000000,851.537537,41277.03,105214.84,62875.19,195538.70
,3562,3562,2,116.934082,4.044,0.668833,,,116.934082@4.044017,116.934082@4.044017,,0.000,0.000000,116.934082,7971.90,109557.02,95039.82,139287.92
,3563,3563,3,231.978516,7.857,0.718173,,,231.978516@7.856937,231.978516@7.856937,,0.000,0.000000,231.978516,11237.19,137483.88,186246.50,230800.33
,3564,3564,4,296.061310,6.855,0.807783,,,296.061310@6.855150,296.061310@6.855150,,0.000,0.000000,296.061310,30666.66,192940.80,264531.75,208042.08
,3565,3565,4,285.045624,11.813,0.840107,,,285.045624@11.812876,285.045624@11.812876,,0.000,0.000000,285.045624,4811.37,249515.92,175265.38,193545.30
,3566,3566,3,718.456360,4.250,0.850077,,,718.456360@4.250333,718.456360@4.250333,,0.000,0.000000,718.456360,0.00,260270.42,258795.55,233359.58
,3567,3567,3,845.574890,4.211,0.850579,,,845.574890@4.210878,845.574890@4.210878,,0.000,0.000000,845.574890,0.00,242124.39,249079.52,105934.44
,3568,3568,3,377.012939,13.570,0.850147,,,377.012939@13.569783,377.012939@13.569783,,0.000,0.000000,377.012939,0.00,241188.70,232047.67,177471.12
,3569,3569,4,149.060837,2.679,0.827779,,,149.060837@2.678821,149.060837@2.678821,,0.000,0.000000,149.060837,75677.57,214265.58,221690.69,245188.45
,3570,3570,3,119.050262,2.625,0.823156,,,119.050262@2.625296,119.050262@2.625296,,0.000,0.000000,119.050262,52381.05,216832.05,217128.70,193230.95
,3571,3571,4,434.892578,6.686,0.850144,,,434.892578@6.685779,434.892578@6.685779,,0.000,0.000000,434.892578,70102.66,256946.50,186900.55,249699.95
,3572,3572,1,705.207458,13.758,0.582179,,,705.207458@13.757678,705.207458@13.757678,,0.000,0.000000,705.207458,0.00,114811.91,164060.58,96387.90
,3573,3573,3,662.102112,13.954,0.852017,,,662.102112@13.954438,662.102112@13.954438,,0.000,0.000000,662.102112,0.00,256159.38,235325.67,208842.42
,3574,3574,3,224.949951,14.172,0.852348,,,224.949951@14.172400,224.949951@14.172400,,0.000,0.000000,224.949951,2826.35,259376.95,216256.95,225761.64
,3575,3575,3,173.009201,14.018,0.801857,,,173.009201@14.018187,173.009201@14.018187,,0.000,0.000000,173.009201,56298.92,28412374.00,22302954.00,23302358.00
,3576,3576,3,173.009216,16.030,0.551608,,,173.009216@16.029970,173.009216@16.029970,,0.000,0.000000,173.009216,68238.43,1750258.12,1618164.38,1588157.62
